frame,gridx,gridy,hand_value
30,1,1,1.2216799537462433e-28
30,1,2,6.304880331490117e-19
30,1,3,4.9792093479362534e-14
30,1,4,4.66408391573793e-13
30,1,5,9.584689610504354e-15
30,1,6,1.0267581811297301e-20
30,2,1,2.1746599030847557e-20
30,2,2,1.138810262072142e-10
30,2,3,9.238361019311776e-06
30,2,4,8.945978168336508e-05
30,2,5,2.1137021367432798e-06
30,2,6,1.4210887743806741e-11
30,3,1,4.80100222277868e-19
30,3,2,2.8156698391811476e-09
30,3,3,0.001291834252258571
30,3,4,0.16071396004358293
30,3,5,0.03944356330950913
30,3,6,2.172146949371427e-06
30,4,1,2.3390790194051636e-21
30,4,2,2.7438274744555784e-10
30,4,3,0.0010710438363604393
30,4,4,0.1603319601191155
30,4,5,0.0403144631827562
30,4,6,2.263737767348814e-06
30,5,1,4.702188947879046e-27
30,5,2,1.509245445615487e-15
30,5,3,6.457715193978954e-09
30,5,4,1.0101377203146851e-06
30,5,5,2.606696614290659e-07
30,5,6,1.519610677885177e-11
30,6,1,1.005288741744732e-40
30,6,2,5.517055702045453e-29
30,6,3,1.0828095245365539e-17
30,6,4,7.870066770598665e-11
30,6,5,1.939213629358881e-08
30,6,6,6.8156420806786165e-09
30,7,1,1.2625533606837253e-40
30,7,2,3.868759186382974e-24
30,7,3,1.3308138702093139e-12
30,7,4,6.200874705142147e-06
30,7,5,0.001060251424200307
30,7,6,0.0002938852996326601
30,8,1,2.897757549719407e-40
30,8,2,9.416033020642056e-24
30,8,3,3.5275875446687314e-12
30,8,4,1.8238210364656115e-05
30,8,5,0.003407800159200769
30,8,6,0.0010006621455348227
90,1,1,5.795879666825905e-25
90,1,2,9.155210369008256e-18
90,1,3,6.193614461100175e-13
90,1,4,6.095012581094248e-12
90,1,5,1.360025514810098e-13
90,1,6,1.736476490164925e-19
90,2,1,1.298422600150917e-16
90,2,2,2.607001618930699e-09
90,2,3,0.00017212255982173395
90,2,4,0.001796070178929449
90,2,5,4.395247961056935e-05
90,2,6,7.342551146463501e-11
90,3,1,3.613865757508817e-15
90,3,2,8.531663233329785e-08
90,3,3,0.006025594495380667
90,3,4,0.13955760125568797
90,3,5,0.02372763542147931
90,3,6,1.4996982959318987e-06
